COMID,CAT_FSTFZ6190,NODATA,ACC_FSTFZ6190,ACC_NODATA,TOT_FSTFZ6190,TOT_NODATA,filename
3917070,254.42,0,254.42,0,254.42,0,FSTFZ6190_CONUS.zip
3917072,257,0,257,0,257,0,FSTFZ6190_CONUS.zip
3917082,251.86,0,251.86,0,251.86,0,FSTFZ6190_CONUS.zip
3917084,252.07,0,252.07,0,252.07,0,FSTFZ6190_CONUS.zip
3917106,253.15,0,252.47,0,252.47,0,FSTFZ6190_CONUS.zip
3917114,255.4,0,255.4,0,255.4,0,FSTFZ6190_CONUS.zip
3917130,255.03,0,253.67,0,253.67,0,FSTFZ6190_CONUS.zip
3917136,252.54,0,252.54,0,252.54,0,FSTFZ6190_CONUS.zip
3917138,253,0,253,0,253,0,FSTFZ6190_CONUS.zip
3917154,255.95,0,255.68,0,255.68,0,FSTFZ6190_CONUS.zip
3917156,261,0,261,0,261,0,FSTFZ6190_CONUS.zip
3917158,265.81,0,265.81,0,265.81,0,FSTFZ6190_CONUS.zip
3917160,266.04,0,266.04,0,266.04,0,FSTFZ6190_CONUS.zip
3917162,256.79,0,253.97,0,253.97,0,FSTFZ6190_CONUS.zip
3917164,263.67,0,263.67,0,263.67,0,FSTFZ6190_CONUS.zip
3917172,260.62,0,260.62,0,260.62,0,FSTFZ6190_CONUS.zip
3917176,261.54,0,255.52,0,255.52,0,FSTFZ6190_CONUS.zip
3917178,259.87,0,254.88,0,254.88,0,FSTFZ6190_CONUS.zip
3917194,254.1,0,254.1,0,254.1,0,FSTFZ6190_CONUS.zip
3917198,267.45,0,257.42,0,257.42,0,FSTFZ6190_CONUS.zip
3917200,267.99,0,258.11,0,258.11,0,FSTFZ6190_CONUS.zip
3917212,263.07,0,263.07,0,263.07,0,FSTFZ6190_CONUS.zip
3917214,265.95,0,265.95,0,265.95,0,FSTFZ6190_CONUS.zip
3917218,267.45,0,263.78,0,263.78,0,FSTFZ6190_CONUS.zip
3917220,268,0,264.05,0,264.05,0,FSTFZ6190_CONUS.zip
3917228,267.83,0,267.83,0,267.83,0,FSTFZ6190_CONUS.zip
3917230,275.21,0,275.21,0,275.21,0,FSTFZ6190_CONUS.zip
3917244,273.7,0,262.56,0,263.06,0,FSTFZ6190_CONUS.zip
3917250,262.53,0,262.53,0,262.53,0,FSTFZ6190_CONUS.zip
3917256,267.06,0,261.31,0,261.31,0,FSTFZ6190_CONUS.zip
3917268,267.34,0,261.56,0,261.56,0,FSTFZ6190_CONUS.zip
3917272,264.24,0,260.02,0,260.02,0,FSTFZ6190_CONUS.zip
3917274,266.41,0,266.41,0,266.41,0,FSTFZ6190_CONUS.zip
3917276,263.76,0,261.5,0,261.5,0,FSTFZ6190_CONUS.zip
3917278,265.98,0,262.34,0,262.34,0,FSTFZ6190_CONUS.zip
3917280,267.16,0,263.7,0,263.7,0,FSTFZ6190_CONUS.zip
3917282,266.53,0,262.97,0,262.97,0,FSTFZ6190_CONUS.zip
3917284,267.2,0,263.36,0,263.36,0,FSTFZ6190_CONUS.zip
3917286,268.82,0,268.82,0,268.82,0,FSTFZ6190_CONUS.zip
3917912,258.56,0,254.38,0,254.38,0,FSTFZ6190_CONUS.zip
3917914,253.9,0,253.69,0,253.69,0,FSTFZ6190_CONUS.zip
3917916,254.86,0,254.15,0,254.15,0,FSTFZ6190_CONUS.zip
3917918,263.81,0,256.79,0,256.79,0,FSTFZ6190_CONUS.zip
3917920,266.81,0,266.18,0,266.18,0,FSTFZ6190_CONUS.zip
3917922,268.05,0,268.05,0,268.05,0,FSTFZ6190_CONUS.zip
3917946,276.68,0,262.87,0,263.28,0,FSTFZ6190_CONUS.zip
3917948,269.55,0,258.32,0,258.32,0,FSTFZ6190_CONUS.zip
3917950,272.31,0,262.36,0,262.92,0,FSTFZ6190_CONUS.zip
3917956,257.97,0,257.97,0,257.97,0,FSTFZ6190_CONUS.zip
3917958,259.63,0,259.63,0,259.63,0,FSTFZ6190_CONUS.zip
3917960,261.25,0,261.25,0,261.25,0,FSTFZ6190_CONUS.zip
948010089,267.86,0,268.03,0,268.03,0,FSTFZ6190_CONUS.zip
