COMID,CAT_OLSON_K,CAT_OLSON_CAO,CAT_OLSON_FE,CAT_OLSON_MGO,CAT_OLSON_P,CAT_OLSON_S,CAT_OLSON_SI,CAT_OLSON_UCS,CAT_OLSON_PERM,NODATA,filename
3917070,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_CAT_CONUS.zip
3917072,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_CAT_CONUS.zip
3917082,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_CAT_CONUS.zip
3917084,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_CAT_CONUS.zip
3917106,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_CAT_CONUS.zip
3917114,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_CAT_CONUS.zip
3917130,1.9,5.97,6.87,3.25,0.25,0.02,59.33,124.51,0.33,0,OLSON_CAT_CONUS.zip
3917136,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_CAT_CONUS.zip
3917138,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_CAT_CONUS.zip
3917154,1.71,6.76,7.88,3.93,0.27,0.02,57.36,139.38,0.47,0,OLSON_CAT_CONUS.zip
3917156,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_CAT_CONUS.zip
3917158,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_CAT_CONUS.zip
3917160,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_CAT_CONUS.zip
3917162,2.08,5.24,5.94,2.62,0.23,0.02,61.14,110.79,0.19,0,OLSON_CAT_CONUS.zip
3917164,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_CAT_CONUS.zip
3917172,1.74,6.75,7.94,3.98,0.27,0.02,57.33,139.88,0.47,0,OLSON_CAT_CONUS.zip
3917176,2.03,5.46,6.23,2.82,0.23,0.02,60.59,115.04,0.23,0,OLSON_CAT_CONUS.zip
3917178,2.05,5.39,6.15,2.76,0.23,0.02,60.76,113.74,0.22,0,OLSON_CAT_CONUS.zip
3917194,1.86,6.14,7.08,3.39,0.25,0.02,58.92,127.61,0.36,0,OLSON_CAT_CONUS.zip
3917198,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_CAT_CONUS.zip
3917200,1.75,6.74,7.96,4.01,0.27,0.02,57.31,140.09,0.47,0,OLSON_CAT_CONUS.zip
3917230,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,0,OLSON_CAT_CONUS.zip
3917244,1.7,2.61,22.43,1.54,0.16,0.09,39.53,29.63,102.08,0,OLSON_CAT_CONUS.zip
3917912,1.94,5.84,6.74,3.17,0.24,0.02,59.62,122.4,0.3,0,OLSON_CAT_CONUS.zip
3917914,1.7,6.77,7.88,3.92,0.27,0.02,57.36,139.37,0.47,0,OLSON_CAT_CONUS.zip
3917916,1.91,5.91,6.79,3.19,0.25,0.02,59.48,123.33,0.32,0,OLSON_CAT_CONUS.zip
3917918,1.91,6.02,7,3.35,0.25,0.02,59.15,126.29,0.34,0,OLSON_CAT_CONUS.zip
3917920,1.79,6.63,7.87,3.92,0.26,0.02,57.64,141.39,0.49,0,OLSON_CAT_CONUS.zip
3917946,1.75,5.86,10.88,3.48,0.24,0.03,53.79,118.1,21.23,6.07,OLSON_CAT_CONUS.zip
3917948,1.72,4.32,16.46,2.56,0.2,0.06,46.86,75.57,60.15,0,OLSON_CAT_CONUS.zip
3917950,1.75,2.34,22.4,1.32,0.15,0.09,39.81,26.18,103.58,0,OLSON_CAT_CONUS.zip
