COMID,CAT_RECHG,NODATA,ACC_RECHG,ACC_NODATA,TOT_RECHG,TOT_NODATA,filename
3917070,87.98,0,87.98,0,87.98,0,RECHG_CONUS.zip
3917072,89,0,89,0,89,0,RECHG_CONUS.zip
3917082,80.15,0,80.15,0,80.15,0,RECHG_CONUS.zip
3917084,82.63,0,82.63,0,82.63,0,RECHG_CONUS.zip
3917106,84.44,0,83.18,0,83.18,0,RECHG_CONUS.zip
3917114,88.53,0,88.53,0,88.53,0,RECHG_CONUS.zip
3917130,88.98,0,86.23,0,86.23,0,RECHG_CONUS.zip
3917136,82.53,0,82.53,0,82.53,0,RECHG_CONUS.zip
3917138,84.36,0,84.36,0,84.36,0,RECHG_CONUS.zip
3917154,88.89,0,88.73,0,88.73,0,RECHG_CONUS.zip
3917156,88.76,0,88.76,0,88.76,0,RECHG_CONUS.zip
3917158,87.95,0,87.95,0,87.95,0,RECHG_CONUS.zip
3917160,89.02,0,89.02,0,89.02,0,RECHG_CONUS.zip
3917162,90.99,0,86.68,0,86.68,0,RECHG_CONUS.zip
3917164,88.23,0,88.23,0,88.23,0,RECHG_CONUS.zip
3917172,88.97,0,88.97,0,88.97,0,RECHG_CONUS.zip
3917176,89.19,0,87.45,0,87.45,0,RECHG_CONUS.zip
3917178,89.93,0,87.26,0,87.26,0,RECHG_CONUS.zip
3917194,90.14,0,90.14,0,90.14,0,RECHG_CONUS.zip
3917198,84,0,87.49,0,87.49,0,RECHG_CONUS.zip
3917200,84,0,87.45,0,87.45,0,RECHG_CONUS.zip
3917230,85.06,0,85.06,0,85.06,0,RECHG_CONUS.zip
3917244,81.63,0,125.92,0,147.93,0,RECHG_CONUS.zip
3917912,89.99,0,87.05,0,87.05,0,RECHG_CONUS.zip
3917914,82.77,0,82.75,0,82.75,0,RECHG_CONUS.zip
3917916,88.88,0,87.61,0,87.61,0,RECHG_CONUS.zip
3917918,87,0,87.46,0,87.46,0,RECHG_CONUS.zip
3917920,85.81,0,87.99,0,87.99,0,RECHG_CONUS.zip
3917946,82.06,0,124.95,0,146.87,0,RECHG_CONUS.zip
3917948,83.28,0,87.37,0,87.37,0,RECHG_CONUS.zip
3917950,80.9,0,126.71,0,148.79,0,RECHG_CONUS.zip
