COMID,CAT_KFACT,CAT_KFACT_UP,CAT_NO10AVE,CAT_NO200AVE,CAT_NO4AVE,CAT_OM,CAT_PERMAVE,CAT_RFACT,CAT_ROCKDEP,CAT_BDAVE,CAT_AWCAVE,CAT_WTDEP,NODATA,filename
3917070,0.26,0.16,64.15,29.71,69.77,0.77,6.04,330,54.32,1.23,0.08,5.98,0,STATSGO_LAYER_CAT_CONUS.zip
3917072,0.3,0.19,64.93,40.8,70.22,1.07,1.91,330,50.32,1.24,0.1,6,0,STATSGO_LAYER_CAT_CONUS.zip
3917082,0.17,0.13,63.13,15.08,69.16,0.39,11.49,235,59.6,1.21,0.06,5.95,0,STATSGO_LAYER_CAT_CONUS.zip
3917084,0.2,0.14,64.35,20.07,70.11,0.59,10.03,273.69,57.31,1.24,0.07,5.74,0,STATSGO_LAYER_CAT_CONUS.zip
3917106,0.21,0.15,63.63,22.32,69.46,0.58,8.8,256.14,56.98,1.22,0.07,5.96,0,STATSGO_LAYER_CAT_CONUS.zip
3917114,0.3,0.19,64.93,40.8,70.22,1.07,1.91,312,50.32,1.24,0.1,6,0,STATSGO_LAYER_CAT_CONUS.zip
3917130,0.3,0.18,64.84,39.41,70.17,1.03,2.42,312,50.82,1.23,0.1,6,0,STATSGO_LAYER_CAT_CONUS.zip
3917136,0.22,0.15,63.71,23.46,69.51,0.61,8.37,230.77,56.58,1.22,0.07,5.97,0,STATSGO_LAYER_CAT_CONUS.zip
3917138,0.3,0.18,64.76,38.27,70.12,1,2.85,221.61,51.24,1.23,0.1,6,0,STATSGO_LAYER_CAT_CONUS.zip
3917154,0.29,0.18,64.74,37.99,70.11,0.99,2.95,320.29,51.34,1.23,0.1,5.99,0,STATSGO_LAYER_CAT_CONUS.zip
3917156,0.3,0.19,65.71,41.85,71,1.11,1.85,312.27,49.38,1.24,0.1,5.95,0,STATSGO_LAYER_CAT_CONUS.zip
3917158,0.3,0.19,83.19,65.45,88.52,2.02,0.54,237.81,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_CAT_CONUS.zip
3917160,0.3,0.19,83.19,65.45,88.52,2.02,0.54,226.4,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_CAT_CONUS.zip
3917162,0.3,0.19,62.08,38.82,67.33,1.15,2.07,324.33,50.27,1.22,0.11,6,0,STATSGO_LAYER_CAT_CONUS.zip
3917164,0.3,0.19,83.19,65.45,88.52,2.02,0.54,270.39,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_CAT_CONUS.zip
3917172,0.3,0.18,72.02,49.55,77.36,1.42,1.71,313.21,41.95,1.28,0.12,5.51,0,STATSGO_LAYER_CAT_CONUS.zip
3917176,0.29,0.18,38.77,23.35,43.69,1.93,3.42,328.68,48.4,1.08,0.18,5.89,0,STATSGO_LAYER_CAT_CONUS.zip
3917178,0.28,0.17,27.67,15.14,32.44,2.2,4.08,348.7,49.1,1.01,0.2,5.93,0,STATSGO_LAYER_CAT_CONUS.zip
3917194,0.3,0.19,64.93,40.8,70.22,1.07,1.91,311.53,50.32,1.24,0.1,6,0,STATSGO_LAYER_CAT_CONUS.zip
3917198,0.32,0.19,83.19,65.45,88.52,2.02,0.54,172,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_CAT_CONUS.zip
3917200,0.32,0.19,83.19,65.45,88.52,2.02,0.54,172,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_CAT_CONUS.zip
3917230,0.35,0.34,80.35,55.46,85.04,0.61,0.88,115.14,57.51,1.34,0.14,4.63,0,STATSGO_LAYER_CAT_CONUS.zip
3917244,0.37,0.39,84.8,57.82,89.07,0.55,1.32,117.48,58.51,1.4,0.14,3.51,0,STATSGO_LAYER_CAT_CONUS.zip
3917912,0.29,0.18,39.77,23.3,44.7,1.81,3.38,334.01,49.82,1.09,0.17,5.97,0,STATSGO_LAYER_CAT_CONUS.zip
3917914,0.29,0.18,64.72,37.76,70.1,0.99,3.04,210.83,51.42,1.23,0.1,5.99,0,STATSGO_LAYER_CAT_CONUS.zip
3917916,0.3,0.19,64.89,40.15,70.2,1.05,2.15,277.15,50.56,1.24,0.1,6,0,STATSGO_LAYER_CAT_CONUS.zip
3917918,0.3,0.18,60.86,42.66,66.01,1.77,2.03,268.77,41.39,1.21,0.15,5.5,0,STATSGO_LAYER_CAT_CONUS.zip
3917920,0.3,0.19,83.19,65.45,88.52,2.02,0.54,172,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_CAT_CONUS.zip
3917946,0.36,0.38,84.09,57.44,88.43,0.56,1.25,118.74,58.35,1.39,0.14,3.69,0,STATSGO_LAYER_CAT_CONUS.zip
3917948,0.37,0.36,82.91,57.11,87.39,0.63,1.11,161.92,57.05,1.37,0.14,4.02,0,STATSGO_LAYER_CAT_CONUS.zip
3917950,0.4,0.44,89.69,60.42,93.51,0.49,1.8,138.34,59.61,1.46,0.14,2.28,0,STATSGO_LAYER_CAT_CONUS.zip
