COMID,CAT_SILTAVE,CAT_CLAYAVE,CAT_SANDAVE,NODATA,filename
3917070,31.97,14.06,53.97,0,STATSGO_TEXT_CAT_CONUS.zip
3917072,40.43,22.4,37.16,0,STATSGO_TEXT_CAT_CONUS.zip
3917082,20.82,3.07,76.11,0,STATSGO_TEXT_CAT_CONUS.zip
3917084,24.93,5.53,69.53,0,STATSGO_TEXT_CAT_CONUS.zip
3917106,26.34,8.51,65.15,0,STATSGO_TEXT_CAT_CONUS.zip
3917114,40.43,22.4,37.16,0,STATSGO_TEXT_CAT_CONUS.zip
3917130,39.37,21.36,39.27,0,STATSGO_TEXT_CAT_CONUS.zip
3917136,27.21,9.36,63.43,0,STATSGO_TEXT_CAT_CONUS.zip
3917138,38.5,20.5,41,0,STATSGO_TEXT_CAT_CONUS.zip
3917154,38.29,20.29,41.42,0,STATSGO_TEXT_CAT_CONUS.zip
3917156,40.36,23.15,36.49,0,STATSGO_TEXT_CAT_CONUS.zip
3917158,38.8,39.88,21.33,0,STATSGO_TEXT_CAT_CONUS.zip
3917160,38.8,39.88,21.33,0,STATSGO_TEXT_CAT_CONUS.zip
3917162,40.12,21.3,38.58,0,STATSGO_TEXT_CAT_CONUS.zip
3917164,38.8,39.88,21.33,0,STATSGO_TEXT_CAT_CONUS.zip
3917172,39.1,28.57,32.34,0,STATSGO_TEXT_CAT_CONUS.zip
3917176,37.34,12.91,49.75,0,STATSGO_TEXT_CAT_CONUS.zip
3917178,36.28,8.18,55.54,0,STATSGO_TEXT_CAT_CONUS.zip
3917194,40.43,22.4,37.16,0,STATSGO_TEXT_CAT_CONUS.zip
3917198,38.8,39.88,21.33,0,STATSGO_TEXT_CAT_CONUS.zip
3917200,38.8,39.88,21.33,0,STATSGO_TEXT_CAT_CONUS.zip
3917230,42.04,27.12,30.84,0,STATSGO_TEXT_CAT_CONUS.zip
3917244,44.9,23.43,31.67,0,STATSGO_TEXT_CAT_CONUS.zip
3917912,37.68,12.65,49.67,0,STATSGO_TEXT_CAT_CONUS.zip
3917914,38.11,20.12,41.77,0,STATSGO_TEXT_CAT_CONUS.zip
3917916,39.93,21.91,38.15,0,STATSGO_TEXT_CAT_CONUS.zip
3917918,38.56,24.9,36.54,0,STATSGO_TEXT_CAT_CONUS.zip
3917920,38.8,39.88,21.33,0,STATSGO_TEXT_CAT_CONUS.zip
3917946,44.44,24.02,31.54,0,STATSGO_TEXT_CAT_CONUS.zip
3917948,43.51,25.52,30.97,0,STATSGO_TEXT_CAT_CONUS.zip
3917950,48.04,19.37,32.59,0,STATSGO_TEXT_CAT_CONUS.zip
